"def_id","def_name","def_descr","def_domain","def_seq","def_category"
1,d100,Ébavurage,pp0,1,
2,d101,Cheminée,pp0,2,
31,d40,A10,pp50,1,
32,d49,B40,pp50,2,
47,d70,E10,pp71,1,
48,d81,A20,pp71,2,
49,d71,E20,pp71,3,
50,d82,A30,pp71,4,
51,d72,E30,pp71,5,
52,d83,A50,pp71,6,
53,d73,E40,pp71,7,
54,d84,B80,pp71,8,
55,d74,E50,pp71,9,
56,d85,B170,pp71,10,
57,d75,E60,pp71,11,
58,d86,B171,pp71,12,
59,d76,E70,pp71,13,
60,d87,B172,pp71,14,
61,d77,E81,pp71,15,
62,d88,C20,pp71,16,
63,d78,E91,pp71,17,
64,d00,autre - divers,pp71,18,
65,d79,E101,pp71,19,
46,d48,E120-E170,pp50,12,
45,d47,E91,pp50,9,
44,d00,autre - divers,pp50,15,
6,d26,"manque usinage (perçage, arche …)",pp100,2,
7,d02,arrachement mat. 3 Trous,pp100,1,
8,d03,marque 6 Trous (escalier),pp100,4,
9,d04,arrachement mat. - fond ⌀ 2.083 mm,pp100,3,
10,d05,marque ⌀ Intérieur,pp100,6,
11,d06,arrachement mat. - petite Colerette,pp100,5,
12,d07,marque colerette,pp100,8,
13,d08,arrachement mat. / bavure ⌀ 0.457 mm,pp100,7,
14,d09,marque de Mors,pp100,10,
15,d10,arrachement mat. / impact - 6 Trous,pp100,9,
16,d11,paroi extérieur abimée ⌀ 2.235 mm,pp100,12,
17,d12,bavures trous transverseaux,pp100,11,
18,d13,paroi triangle abimée,pp100,14,
19,d14,bosselage,pp100,13,
20,d15,"pièce abimée (manipulation, etc...)",pp100,16,
21,d16,coups dans l'arche,pp100,15,
22,d17,pièce perdue,pp100,18,
23,d18,décalage triangle (≠ épaisseur paroi),pp100,17,
24,d19,plat dans l'arche,pp100,20,
25,d25,dimensionnel NOK,pp100,19,
26,d21,rayures dans les 3 trous,pp100,22,
27,d20,ébavurage 3 trous NOK,pp100,21,
28,d23,trou transversal abimé,pp100,24,
29,d22,grande colerette écrasée / déformée,pp100,23,
3,d24,"3 trous décalés",pp100,26,
4,d01,"6 trous abimés extérieur",pp100,28,
5,d00,autre - divers,pp100,27,
41,d45,A210,pp50,16,
68,"","",pp71,20,
66,d80,E111,pp71,21,
42,d54,C20,pp50,3,
37,d43,A100,pp50,10,
39,d44,A120,pp50,13,
33,d41,A20,pp50,4,
35,d42,A30,pp50,7,
36,d51,B140,pp50,8,
38,d52,B141,pp50,11,
40,d53,B142,pp50,14,
34,d50,B80,pp50,5,
43,d46,E10-E60,pp50,6,
